,city,date,moonphase,sunrise,sunset
250,Los Angeles,2023-07-06,0.62,05:47:39,20:07:48
251,Los Angeles,2023-07-07,0.65,05:48:09,20:07:36
252,Los Angeles,2023-07-08,0.69,05:48:41,20:07:23
253,Los Angeles,2023-07-09,0.75,05:49:14,20:07:07
254,Los Angeles,2023-07-10,0.76,05:49:47,20:06:50
255,Los Angeles,2023-07-11,0.79,05:50:21,20:06:32
256,Los Angeles,2023-07-12,0.83,05:50:56,20:06:12
257,Los Angeles,2023-07-13,0.86,05:51:31,20:05:50
258,Los Angeles,2023-07-14,0.9,05:52:08,20:05:26
259,Los Angeles,2023-07-15,0.93,05:52:44,20:05:01
260,Los Angeles,2023-07-16,0.97,05:53:22,20:04:35
261,Los Angeles,2023-07-17,0.0,05:54:00,20:04:06
262,Los Angeles,2023-07-18,0.03,05:54:39,20:03:36
263,Los Angeles,2023-07-19,0.07,05:55:18,20:03:05
264,Los Angeles,2023-07-20,0.1,05:55:57,20:02:32
265,Los Angeles,2023-07-21,0.13,05:56:37,20:01:57
266,Los Angeles,2023-07-22,0.17,05:57:18,20:01:21
267,Los Angeles,2023-07-23,0.2,05:57:58,20:00:44
268,Los Angeles,2023-07-24,0.23,05:58:40,20:00:05
269,Los Angeles,2023-07-25,0.25,05:59:21,19:59:24
270,Los Angeles,2023-07-26,0.3,06:00:03,19:58:42
271,Los Angeles,2023-07-27,0.33,06:00:45,19:57:58
272,Los Angeles,2023-07-28,0.37,06:01:27,19:57:13
273,Los Angeles,2023-07-29,0.4,06:02:10,19:56:27
274,Los Angeles,2023-07-30,0.43,06:02:52,19:55:39
275,Los Angeles,2023-07-31,0.47,06:03:35,19:54:50
276,Atlanta,2023-05-01,0.37,06:49:01,20:20:54
277,Atlanta,2023-05-02,0.4,06:48:01,20:21:40
278,Atlanta,2023-05-03,0.43,06:47:03,20:22:26
279,Atlanta,2023-05-04,0.47,06:46:05,20:23:12
280,Atlanta,2023-05-05,0.5,06:45:08,20:23:58
281,Atlanta,2023-05-06,0.53,06:44:13,20:24:44
282,Atlanta,2023-05-07,0.57,06:43:18,20:25:30
283,Atlanta,2023-05-08,0.61,06:42:25,20:26:15
284,Atlanta,2023-05-09,0.64,06:41:34,20:27:01
285,Atlanta,2023-05-10,0.68,06:40:43,20:27:47
286,Atlanta,2023-05-11,0.71,06:39:54,20:28:32
287,Atlanta,2023-05-12,0.75,06:39:06,20:29:17
288,Atlanta,2023-05-13,0.78,06:38:19,20:30:02
289,Atlanta,2023-05-14,0.82,06:37:34,20:30:47
290,Atlanta,2023-05-15,0.86,06:36:50,20:31:31
291,Atlanta,2023-05-16,0.89,06:36:08,20:32:16
292,Atlanta,2023-05-17,0.93,06:35:27,20:32:59
293,Atlanta,2023-05-18,0.96,06:34:47,20:33:43
294,Atlanta,2023-05-19,0.0,06:34:09,20:34:26
295,Atlanta,2023-05-20,0.03,06:33:32,20:35:09
296,Atlanta,2023-05-21,0.06,06:32:57,20:35:52
297,Atlanta,2023-05-22,0.1,06:32:23,20:36:34
298,Atlanta,2023-05-23,0.13,06:31:50,20:37:15
299,Atlanta,2023-05-24,0.16,06:31:20,20:37:56
300,Atlanta,2023-05-25,0.19,06:30:50,20:38:36
301,Atlanta,2023-05-26,0.23,06:30:23,20:39:16
302,Atlanta,2023-05-27,0.25,06:29:56,20:39:56
303,Atlanta,2023-05-28,0.29,06:29:32,20:40:34
304,Atlanta,2023-05-29,0.32,06:29:09,20:41:12
305,Atlanta,2023-05-30,0.36,06:28:47,20:41:49
306,Atlanta,2023-05-31,0.39,06:28:27,20:42:26
307,Atlanta,2023-06-01,0.42,06:28:09,20:43:02
308,Atlanta,2023-06-02,0.45,06:27:52,20:43:37
309,Atlanta,2023-06-03,0.5,06:27:37,20:44:11
310,Atlanta,2023-06-04,0.52,06:27:24,20:44:44
311,Atlanta,2023-06-05,0.55,06:27:12,20:45:16
312,Atlanta,2023-06-06,0.59,06:27:01,20:45:47
313,Atlanta,2023-06-07,0.63,06:26:52,20:46:18
314,Atlanta,2023-06-08,0.66,06:26:45,20:46:47
315,Atlanta,2023-06-09,0.7,06:26:39,20:47:15
316,Atlanta,2023-06-10,0.75,06:26:35,20:47:42
317,Atlanta,2023-06-11,0.77,06:26:33,20:48:08
318,Atlanta,2023-06-12,0.8,06:26:32,20:48:33
319,Atlanta,2023-06-13,0.84,06:26:32,20:48:57
320,Atlanta,2023-06-14,0.87,06:26:34,20:49:20
321,Atlanta,2023-06-15,0.91,06:26:38,20:49:41
322,Atlanta,2023-06-16,0.95,06:26:43,20:50:01
323,Atlanta,2023-06-17,0.98,06:26:49,20:50:19
324,Atlanta,2023-06-18,0.0,06:26:57,20:50:37
325,Atlanta,2023-06-19,0.05,06:27:06,20:50:53
326,Atlanta,2023-06-20,0.08,06:27:17,20:51:07
327,Atlanta,2023-06-21,0.11,06:27:29,20:51:20
328,Atlanta,2023-06-22,0.15,06:27:43,20:51:32
329,Atlanta,2023-06-23,0.18,06:27:57,20:51:43
330,Atlanta,2023-06-24,0.21,06:28:13,20:51:51
331,Atlanta,2023-06-25,0.24,06:28:31,20:51:59
332,Atlanta,2023-06-26,0.25,06:28:49,20:52:05
333,Atlanta,2023-06-27,0.31,06:29:09,20:52:09
334,Atlanta,2023-06-28,0.34,06:29:30,20:52:12
