,city,date,precipitation,precipitation_type,severe_risk
208,Los Angeles,5/25/23,0.001,['rain'],10
209,Los Angeles,5/26/23,0,,10
210,Los Angeles,5/27/23,0,,10
211,Los Angeles,5/28/23,0,,10
212,Los Angeles,5/29/23,0,,10
213,Los Angeles,5/30/23,0,,10
214,Los Angeles,5/31/23,0,,10
215,Los Angeles,6/1/23,0,,10
216,Los Angeles,6/2/23,0,,10
217,Los Angeles,6/3/23,0,,10
218,Los Angeles,6/4/23,0,,10
219,Los Angeles,6/5/23,0,,10
220,Los Angeles,6/6/23,0,,10
221,Los Angeles,6/7/23,0,,10
222,Los Angeles,6/8/23,0,,10
223,Los Angeles,6/9/23,0,,10
224,Los Angeles,6/10/23,0,,10
225,Los Angeles,6/11/23,0,,10
226,Los Angeles,6/12/23,0,,10
227,Los Angeles,6/13/23,0,,10
228,Los Angeles,6/14/23,0,,10
229,Los Angeles,6/15/23,0,,10
230,Los Angeles,6/16/23,0,,10
231,Los Angeles,6/17/23,0,,10
232,Los Angeles,6/18/23,0,,10
233,Los Angeles,6/19/23,0,,10
234,Los Angeles,6/20/23,0,,10
235,Los Angeles,6/21/23,0,,10
236,Los Angeles,6/22/23,0,,10
237,Los Angeles,6/23/23,0,,10
238,Los Angeles,6/24/23,0,,10
239,Los Angeles,6/25/23,0,,10
240,Los Angeles,6/26/23,0,,10
241,Los Angeles,6/27/23,0,,10
242,Los Angeles,6/28/23,0,,10
243,Los Angeles,6/29/23,0,,10
244,Los Angeles,6/30/23,0,,10
245,Los Angeles,7/1/23,0,,10
246,Los Angeles,7/2/23,0,,10
247,Los Angeles,7/3/23,0,,10
248,Los Angeles,7/4/23,0,,10
249,Los Angeles,7/5/23,0,,10
250,Los Angeles,7/6/23,0,,10
251,Los Angeles,7/7/23,0,,10
252,Los Angeles,7/8/23,0,,10
253,Los Angeles,7/9/23,0,,10
254,Los Angeles,7/10/23,0,,10
255,Los Angeles,7/11/23,0,,10
256,Los Angeles,7/12/23,0,,10
257,Los Angeles,7/13/23,0,,10
258,Los Angeles,7/14/23,0,,10
259,Los Angeles,7/15/23,0,,10
260,Los Angeles,7/16/23,0,,10
261,Los Angeles,7/17/23,0,,10
262,Los Angeles,7/18/23,0,,10
263,Los Angeles,7/19/23,0,,10
264,Los Angeles,7/20/23,0,,10
265,Los Angeles,7/21/23,0,,10
266,Los Angeles,7/22/23,0,,10
267,Los Angeles,7/23/23,0,,10
268,Los Angeles,7/24/23,0,,10
269,Los Angeles,7/25/23,0,,10
270,Los Angeles,7/26/23,0,,10
271,Los Angeles,7/27/23,0,,10
272,Los Angeles,7/28/23,0,,10
273,Los Angeles,7/29/23,0,,10
274,Los Angeles,7/30/23,0,,10
275,Los Angeles,7/31/23,0,,10
276,Atlanta,5/1/23,0,,10
277,Atlanta,5/2/23,0,,10
278,Atlanta,5/3/23,0,,10
279,Atlanta,5/4/23,0,,10
280,Atlanta,5/5/23,0.027,['rain'],10
281,Atlanta,5/6/23,0,,10
282,Atlanta,5/7/23,0.003,['rain'],30
283,Atlanta,5/8/23,0.122,['rain'],30
284,Atlanta,5/9/23,0.023,['rain'],60
285,Atlanta,5/10/23,0,,10
286,Atlanta,5/11/23,0,,10
287,Atlanta,5/12/23,0.184,['rain'],10
288,Atlanta,5/13/23,0,,30
289,Atlanta,5/14/23,0.077,['rain'],30
290,Atlanta,5/15/23,0.299,['rain'],30
291,Atlanta,5/16/23,0.403,['rain'],30
292,Atlanta,5/17/23,0.077,['rain'],30
293,Atlanta,5/18/23,0.105,['rain'],10
294,Atlanta,5/19/23,0,,10
295,Atlanta,5/20/23,0.01,['rain'],10
296,Atlanta,5/21/23,0.27,['rain'],10
297,Atlanta,5/22/23,0.185,['rain'],10
298,Atlanta,5/23/23,0.075,['rain'],10
299,Atlanta,5/24/23,0,,10
300,Atlanta,5/25/23,0,,10
301,Atlanta,5/26/23,0,,10
302,Atlanta,5/27/23,0,,10
303,Atlanta,5/28/23,0,,10
304,Atlanta,5/29/23,0,,10
305,Atlanta,5/30/23,0,,10
306,Atlanta,5/31/23,0,,10
307,Atlanta,6/1/23,0,,10
308,Atlanta,6/2/23,0,,10
309,Atlanta,6/3/23,0,,10
310,Atlanta,6/4/23,0.287,['rain'],30
311,Atlanta,6/5/23,0.086,['rain'],30
312,Atlanta,6/6/23,0.101,['rain'],30
313,Atlanta,6/7/23,0,,10
314,Atlanta,6/8/23,0,,10
315,Atlanta,6/9/23,0,,10
316,Atlanta,6/10/23,0,,10
317,Atlanta,6/11/23,0.382,['rain'],60
318,Atlanta,6/12/23,0.124,['rain'],10
319,Atlanta,6/13/23,0,,10
320,Atlanta,6/14/23,0.456,['rain'],30
321,Atlanta,6/15/23,0.008,['rain'],30
322,Atlanta,6/16/23,0,,30
323,Atlanta,6/17/23,0,,30
324,Atlanta,6/18/23,0,,10
325,Atlanta,6/19/23,0.938,['rain'],60
326,Atlanta,6/20/23,0.236,['rain'],30
327,Atlanta,6/21/23,0.437,['rain'],10
328,Atlanta,6/22/23,0.029,['rain'],30
329,Atlanta,6/23/23,0.02,['rain'],10
330,Atlanta,6/24/23,0,,10
331,Atlanta,6/25/23,0.452,['rain'],10
332,Atlanta,6/26/23,0,,30
333,Atlanta,6/27/23,0,,30
334,Atlanta,6/28/23,0,,10
335,Atlanta,6/29/23,0,,30
336,Atlanta,6/30/23,0.046,['rain'],30
337,Atlanta,7/1/23,0,,60
338,Atlanta,7/2/23,0.077,['rain'],60
339,Atlanta,7/3/23,0.412,['rain'],60
340,Atlanta,7/4/23,0.103,['rain'],60
341,Atlanta,7/5/23,0.276,['rain'],30
342,Atlanta,7/6/23,0,,30
343,Atlanta,7/7/23,0,,30
344,Atlanta,7/8/23,0,,30
345,Atlanta,7/9/23,0.085,['rain'],30
346,Atlanta,7/10/23,0.807,['rain'],30
347,Atlanta,7/11/23,0,,10
348,Atlanta,7/12/23,0,,30
349,Atlanta,7/13/23,0.004,['rain'],30
350,Atlanta,7/14/23,0,,60
351,Atlanta,7/15/23,0,,30
352,Atlanta,7/16/23,0,,10
353,Atlanta,7/17/23,0,,10
354,Atlanta,7/18/23,0,,30
355,Atlanta,7/19/23,0,,30
356,Atlanta,7/20/23,0.158,['rain'],60
357,Atlanta,7/21/23,0.419,['rain'],60
358,Atlanta,7/22/23,0.228,['rain'],30
359,Atlanta,7/23/23,0,,10
360,Atlanta,7/24/23,0,,10
