,city,latitude,longitude,date,wind_direction,wind_speed,wind_gust
159,New York,40.7146,-74.0071,2023-07-07,196.2,8.7,19.7
160,New York,40.7146,-74.0071,2023-07-08,172.0,11.1,39.1
161,New York,40.7146,-74.0071,2023-07-09,139.3,11.5,34.4
162,New York,40.7146,-74.0071,2023-07-10,310.8,9.3,45.1
163,New York,40.7146,-74.0071,2023-07-11,248.5,8.1,43.0
164,New York,40.7146,-74.0071,2023-07-12,248.8,9.0,52.9
165,New York,40.7146,-74.0071,2023-07-13,184.4,17.8,51.7
166,New York,40.7146,-74.0071,2023-07-14,49.5,14.6,34.4
167,New York,40.7146,-74.0071,2023-07-15,187.2,10.3,45.9
168,New York,40.7146,-74.0071,2023-07-16,221.3,10.0,25.3
169,New York,40.7146,-74.0071,2023-07-17,220.5,10.4,20.8
170,New York,40.7146,-74.0071,2023-07-18,222.1,17.1,40.3
171,New York,40.7146,-74.0071,2023-07-19,242.4,15.6,48.3
172,New York,40.7146,-74.0071,2023-07-20,172.5,9.0,47.2
173,New York,40.7146,-74.0071,2023-07-21,238.3,11.5,50.0
174,New York,40.7146,-74.0071,2023-07-22,303.8,9.1,56.4
175,New York,40.7146,-74.0071,2023-07-23,212.2,8.8,41.4
176,New York,40.7146,-74.0071,2023-07-24,214.8,9.3,36.7
177,New York,40.7146,-74.0071,2023-07-25,231.0,12.5,43.6
178,New York,40.7146,-74.0071,2023-07-26,233.6,9.3,46.5
179,New York,40.7146,-74.0071,2023-07-27,254.3,16.9,58.2
180,New York,40.7146,-74.0071,2023-07-28,267.0,11.2,19.7
181,New York,40.7146,-74.0071,2023-07-29,253.4,15.7,35.6
182,New York,40.7146,-74.0071,2023-07-30,301.0,9.1,28.4
183,New York,40.7146,-74.0071,2023-07-31,235.3,10.1,57.5
184,Los Angeles,34.0536,-118.245,2023-05-01,219.1,11.3,20.8
185,Los Angeles,34.0536,-118.245,2023-05-02,245.2,14.1,23.0
186,Los Angeles,34.0536,-118.245,2023-05-03,243.0,11.5,21.9
187,Los Angeles,34.0536,-118.245,2023-05-04,212.8,8.7,21.9
188,Los Angeles,34.0536,-118.245,2023-05-05,250.0,8.7,20.8
189,Los Angeles,34.0536,-118.245,2023-05-06,251.9,13.5,47.4
190,Los Angeles,34.0536,-118.245,2023-05-07,235.4,12.6,19.7
191,Los Angeles,34.0536,-118.245,2023-05-08,239.7,8.2,20.8
192,Los Angeles,34.0536,-118.245,2023-05-09,239.8,9.4,32.0
193,Los Angeles,34.0536,-118.245,2023-05-10,227.0,7.2,20.8
194,Los Angeles,34.0536,-118.245,2023-05-11,246.1,7.6,20.8
195,Los Angeles,34.0536,-118.245,2023-05-12,241.7,7.5,21.9
196,Los Angeles,34.0536,-118.245,2023-05-13,235.2,6.8,18.3
197,Los Angeles,34.0536,-118.245,2023-05-14,217.1,6.2,21.9
198,Los Angeles,34.0536,-118.245,2023-05-15,251.0,6.4,16.1
199,Los Angeles,34.0536,-118.245,2023-05-16,256.0,9.8,20.8
200,Los Angeles,34.0536,-118.245,2023-05-17,240.1,10.9,19.7
201,Los Angeles,34.0536,-118.245,2023-05-18,202.9,7.1,13.9
202,Los Angeles,34.0536,-118.245,2023-05-19,228.2,9.9,13.9
203,Los Angeles,34.0536,-118.245,2023-05-20,247.3,6.4,17.2
204,Los Angeles,34.0536,-118.245,2023-05-21,243.2,10.9,18.3
205,Los Angeles,34.0536,-118.245,2023-05-22,237.1,9.4,15.0
206,Los Angeles,34.0536,-118.245,2023-05-23,234.4,6.7,13.9
207,Los Angeles,34.0536,-118.245,2023-05-24,241.9,5.5,16.1
208,Los Angeles,34.0536,-118.245,2023-05-25,189.8,7.2,17.2
209,Los Angeles,34.0536,-118.245,2023-05-26,242.6,15.3,23.0
210,Los Angeles,34.0536,-118.245,2023-05-27,246.5,8.2,21.9
211,Los Angeles,34.0536,-118.245,2023-05-28,245.9,6.7,13.9
212,Los Angeles,34.0536,-118.245,2023-05-29,246.3,7.3,17.2
213,Los Angeles,34.0536,-118.245,2023-05-30,249.9,7.6,20.8
214,Los Angeles,34.0536,-118.245,2023-05-31,246.3,8.6,11.4
215,Los Angeles,34.0536,-118.245,2023-06-01,249.4,5.5,11.4
216,Los Angeles,34.0536,-118.245,2023-06-02,250.4,9.4,23.0
217,Los Angeles,34.0536,-118.245,2023-06-03,244.1,8.1,18.3
218,Los Angeles,34.0536,-118.245,2023-06-04,238.5,14.1,9.2
219,Los Angeles,34.0536,-118.245,2023-06-05,231.8,4.4,9.2
220,Los Angeles,34.0536,-118.245,2023-06-06,224.8,7.8,17.2
221,Los Angeles,34.0536,-118.245,2023-06-07,252.6,8.2,24.2
222,Los Angeles,34.0536,-118.245,2023-06-08,247.9,9.5,24.2
223,Los Angeles,34.0536,-118.245,2023-06-09,240.9,7.4,19.7
224,Los Angeles,34.0536,-118.245,2023-06-10,244.6,6.7,8.1
225,Los Angeles,34.0536,-118.245,2023-06-11,223.7,6.2,11.4
226,Los Angeles,34.0536,-118.245,2023-06-12,245.1,12.5,23.0
227,Los Angeles,34.0536,-118.245,2023-06-13,252.9,8.0,19.9
228,Los Angeles,34.0536,-118.245,2023-06-14,251.3,5.4,12.8
229,Los Angeles,34.0536,-118.245,2023-06-15,246.8,5.3,13.9
230,Los Angeles,34.0536,-118.245,2023-06-16,253.9,8.6,19.7
231,Los Angeles,34.0536,-118.245,2023-06-17,241.9,10.8,23.0
232,Los Angeles,34.0536,-118.245,2023-06-18,234.3,9.7,20.8
233,Los Angeles,34.0536,-118.245,2023-06-19,229.0,7.3,24.2
234,Los Angeles,34.0536,-118.245,2023-06-20,247.2,12.5,20.8
235,Los Angeles,34.0536,-118.245,2023-06-21,250.7,9.1,20.8
236,Los Angeles,34.0536,-118.245,2023-06-22,233.7,13.4,22.4
237,Los Angeles,34.0536,-118.245,2023-06-23,227.9,8.8,23.0
238,Los Angeles,34.0536,-118.245,2023-06-24,238.8,7.0,21.9
239,Los Angeles,34.0536,-118.245,2023-06-25,243.6,13.9,23.0
240,Los Angeles,34.0536,-118.245,2023-06-26,241.0,11.3,21.9
241,Los Angeles,34.0536,-118.245,2023-06-27,245.0,6.8,18.3
242,Los Angeles,34.0536,-118.245,2023-06-28,225.0,11.4,18.3
243,Los Angeles,34.0536,-118.245,2023-06-29,236.6,9.7,19.7
244,Los Angeles,34.0536,-118.245,2023-06-30,248.3,12.5,18.3
245,Los Angeles,34.0536,-118.245,2023-07-01,236.2,9.6,18.3
246,Los Angeles,34.0536,-118.245,2023-07-02,245.9,13.0,20.8
247,Los Angeles,34.0536,-118.245,2023-07-03,248.3,6.5,20.8
248,Los Angeles,34.0536,-118.245,2023-07-04,230.7,6.6,22.1
249,Los Angeles,34.0536,-118.245,2023-07-05,243.2,8.5,19.7
250,Los Angeles,34.0536,-118.245,2023-07-06,240.7,10.5,19.1
251,Los Angeles,34.0536,-118.245,2023-07-07,246.0,10.7,19.7
252,Los Angeles,34.0536,-118.245,2023-07-08,239.1,7.2,13.9
253,Los Angeles,34.0536,-118.245,2023-07-09,241.3,11.5,20.8
254,Los Angeles,34.0536,-118.245,2023-07-10,241.8,7.8,13.9
255,Los Angeles,34.0536,-118.245,2023-07-11,254.9,8.8,16.1
